<Wyl_Present>	<Wyl_Past>	<Wyl_Future>	<Wyl_Imperative>
'khyud	khyud ('khyud)	'khyud	khyud
'khyur	khyur ('khyur)	'khyur	khyur
'khyus	'khyus	'khyus	khyus
'khyer	khyer	'khyer	khyer
'khyog	'khyogs	'khyog	'khyogs
'khyong 	'khyongs	'khyong 	
'khyom 	'khyoms	'khyom 	
'khyor	'khyor	'khyor	
'khyol 	'khyol	'khyol 	
'khra	'khras	'khra	'khras
'khrab	'khrabs	'khrab	'khrobs
'khri 	'khris	'khri 	
'khrig	'khrigs	'khrig	'khrigs
'khrig	'khrigs	'khrig	'khrigs
'khrid	khrid	'khrid	khrid
'khril	khril	'khril	
'khru 	khrus	'khru 	
'khrug	'khrugs	'khrug	
'khrug	'khrugs	'khrug	
'khrung	'khrungs	'khrung	
'khrud	bkrus	bkru	khrus
'khrul	'khrul	'khrul	
'khren	khren	'khren	
'khreb 	'khrebs	'khreb	
'khrog 	'khrogs	'khrog 	
'khrol	'khrol	'khrol	
gang 	gang	gang 	
gab 	gab	gab 	
gal	gal	gal	gal
gug 	gug	gug 	
gud	gud	gud	
gus	gus	gus	
go	go	go	
gog	gog	gog	
'god (god)	god	'god (god)	
gon (gyon)	gon (gyon)	gon (gyon)	gon (gyon)
goms	goms	goms	
gol	gol	gol	
gyar	gyar	gyar	
gyer 	gyer	gyer 	gyer 
gyon	gyon	gyon	gyon
grag	grag	grag	
grags	grags	grags	
grang	grang	grang	
grang	grang	grang	
gram 	gram	gram 	
grim 	grims	grim 	
grug 	grugs	grug 	
grum 	grums	grum	
gla	glas	gla	glas (glos)
gla	blas	gla	blos
glon	glan	glan	glon
glal	glal	glal	glal
gleng	glengs	gleng	glengs
gleb	glebs	gleb	glebs
glem	glems	glem	glems
glod	glod	glod	glod
glon	glan	glan	glon
dga'	dga'	dga'	dga'
dgar	bkar	dgar	khor
dgu	dgu	dgu	dgu
dges	dges	dges	dges
dgogs	gogs	dgog	gogs
dgogs	bkog	dgog	khog
dgongs	dgongs	dgongs	dgongs
dgod	bgad	bgad	dgod
dgos	dgos	dgos	dgos
dgye	gye	dgye	dgye
dgye 	dgye	dgye 	
dgyed 	dgyed	dgyed 	
dgyer	bgyer	bgyer	dgyer
dgyes	dgyes	dgyes	dgyes
dgrong	bkrongs	dgrong	dgrongs
dgrong	bkrongs	bkrong	dgrongs
bgag	bgags (bgegs?)	bgag	bgogs
bgam	bgams	bgam	bgams
bgam	bgam	bgam	bgom
bgo	bgos	bgo	bgos
bgo	bgos	bgo	bgos
bgod	bgos	bgo	bgod (bgos)
bgor 	bgor	bgor 	bgor
bgyang	bgyangs	bgyang	bgyongs
bgyid	bgyis	bgyi	gyis
bgyid	bgyis	bgyi	gyis
bgrang	bgrangs	bgrang	grongs (grangs)
bgrang	bgrangs	bgrang	grongs (grangs)
bgrad 	bgrad	bgrad 	bgrod
bgril 	bgril	bgril 	bgril
bgru	bgrus	bgru	bgrus
bgrung 	bgrungs	bgrung 	bgrungs
bgrud	bgrus	bgru	bgrud
bgre	bgres	bgre	bgres
bgres 	bgres	bgres 	
bgro	bgros	bgro	bgros
bgrod	bgrod	bgrod	bgrod
mgar 	mgar	mgar 	mgor
mgu	mgu	mgu	mgu
'gag	'gags	'gag	
'gas	gas	'gas	
'gas	bkas	dgas	khos
'gad	bkad	bgad	khod
'gabs	gab	'gab	gabs
'gam	bgam	dgam	'gams
'gam	'gams	'gam	'goms
'gal	'gal	'gal	'gal
'gug	gug	'gug	gugs
'gugs	bkug	dgug	khugs (khug)
'gum	gum	'gum	
'gums	bkum (bkums)	dgum	khums
'gul	'gul	'gul	
'geng			
'gengs	bkang	dgang	khong
'gengs	bkang	dgang	khong
'ged	bged	'ged	
'gebs	bkab	dgab	khob
'gebs	bkab	dgab	khob
'gebs	bkab	dgab	khob
'gems 	'gems	'gems 	'gems
'gel	bkal	dgal	'gel (khol)
'go	'gos (gos)	'go	'gos
'gog	bkog	dgog	khog
'gog	bkag	dgag	khog
'gog	bkag	dgag	khog
'gong	'gongs	'gong	'gongs
'god	bkod	dgod	'god (khod)
'god	bkod	dgod	'god (khod)
'gom	bgoms	bgom	'goms (bgoms)
'gor	bgor ('gor)	bgor ('gor)	'gor
'gor	'gor	'gor	'gor
'gyag	gyags	gyag	'gyags
'gyang	'gyangs	'gyang	'gyangs
'gyangs	bgyangs	bgyang	'gyangs
'gyas	gyas	gya	gyos
'gying	'gyings	'gying	'gyings
'gyu	'gyus	'gyu	'gyus
'gyur	gyur	'gyur	gyur
'gyur	gyur	'gyur	gyur
'gyur	gyur	'gyur	gyur
'gyur	gyur	'gyur	gyur
'gyur	gyur	'gyur	gyur
'gyed	bkyes	bkye	khyes
'gyer	gyer	'gyer	gyer
'gyel	'gyel	'gyel (dgyel)	
'gyes	gyes	'gyes	
'gyog ('gyogs)	bkyags	bkyag	khyog
'gyod	'gyod	'gyod	'gyod
'grang	'grangs	'grang	'grangs
'grad (bgrad)	bgrad	bgrad	'grad (bgrod)
'gran	'gran	'gran	'gran
'grams	gram	'gram	grams
'grams	'grams	'grams	
'gras	'gras	'gras	'gras
'grig	'grigs	'grig	'grigs
'grib	'gribs	'grib	'gribs
'grim	'grims	'grim	
'gril	gril	'gril	
'grub	grub	'grub	grubs
'grub	grub	'grub	grubs
'grums	grum	'grum	grums
'grul	'grul	'grul	'grul
'grus 	'grus	'grus 	'grus
'gre	'gres	'gre	'gres
'gre	'gres	'gre	'gres
'greng	'grengs	'greng	'grengs
'gred 	gred	'gred 	
'grems	bkram	dgram	khrems (khroms)
'grel	bkral	dgrol	khrol
'gro	phyin	'gro	song
'gro	phyin	'gro	song
'grogs	'grogs	'grogs	'grogs
'grongs	grongs	'grong	grongs
'grongs	grongs	'grongs 	
'grol	grol	'grol	grol
'grol	bkrol	dgrol	khrol
'grol	bkrol	dgrol	khrol
'grol	bkrol	dgrol	khrol
rga 	rgas	rga 	
rgal	brgal	brgal	rgol
rgud	rgud	rgud	rgud
rgod	rgod	rgod	rgod
rgod	rgod	rgod	rgod
rgol	brgal	brgal	rgol
rgya	rgyas	rgya	rgyas
rgya	rgyas	rgya	rgyas
rgya	rgyas	rgya	rgyas
rgyag	rgyag	rgyag	rgyag
rgyag 	brgyab	rgyag 	
rgyag	brgyab	brgyag	rgyob
rgyags	rgyags	rgyags	rgyags
rgyags	brgyags	brgyag	rgyags
rgyags 	brgyags	rgyag 	
rgyang	brgyangs	brgyang	rgyangs
rgyan	brgyan	brgyan	rgyan
rgyab	brgyabs	brgyab	rgyabs (rgyob)
rgyal	rgyal	rgyal	rgyal
rgyu	rgyu	rgyu	rgyu
rgyu	rgyu	rgyu	rgyu
rgyu	brgyus	brgyu	rgyus
rgyug	rgyugs	rgyug	rgyugs
rgyug	brgyugs	brgyug	rgyugs
rgyud	brgyud	brgyud	rgyud
rgyud	brgyus	brgyu	rgyus
rgyo	brgyos	brgyo	rgyos
rgyong	brgyangs	brgyang	rgyongs
sgag	bsgags	bsgag	sgogs
sgang	bsgangs	bsgang	sgangs
sgab	bsgab	bsgab	sgob
sgar	bsgar	bsgar	sgor
sgug	bsgugs	bsgug	sgugs
sgur	bsgur	bsgur	sgur
sgul	bsgul	bsgul	sgul
sgeg	sgeg	sgeg	
sgeg	sgeg	sgeg	
sgo	bsgos	bsgo	sgos
sgo	bsgos	bsgo	sgos
sgog	bsgags	bsgag	sgogs
sgong	bsgongs	bsgong	sgongs
sgob (sgab)	bsgabs (bsgab)	bsgab (bsgab)	sgobs (sgob)
sgom	bsgoms	bsgom	sgoms
sgom	bsgoms	bsgom	sgoms
sgying	bsgyings	bsgying	sgyings
sgyur	bsgyur	bsgyur	sgyur
sgyur	bsgyur	bsgyur	sgyur
sgyur	bsgyur	bsgyur	sgyur
sgyel	bsgyel	bsgyel	sgyel
sgrang	bsgrangs	bsgrang	sgrongs
sgrad	bsgrad	bsgrad	sgrad
sgrig	bsgrigs	bsgrig	sgrigs
sgrin	bsgrin	bsgrin	sgrin
sgrib	bsgribs	bsgrib	sgribs
sgrim	bsgrims	bsgrim	sgrims
sgril	bsgril	bsgril	sgril
sgrug	bsgrugs	bsgrug	sgrugs
sgrung	bsgrungs	bsgrung	sgrungs
sgrun	bsgrun	bsgrun	sgrun
sgrun	bsgrun	bsgrun	sgrun
sgrub	bsgrubs	bsgrub	sgrubs
sgre	bsgres	bsgre	sgres
sgreg	sgregs	sgreg	
sgreng	bsgrengs	bsgreng	sgrengs
sgrogs	bsgrags	bsgrag	sgrogs
sgrog	bsgrogs	bsgrog	sgrogs
sgrogs	bsgrags	bsgrag	sgrogs
sgrong	bsgrangs	bsgrang	sgrongs
sgrod	bsgrod	bsgrod	sgrod
sgron	bsgron	bsgron	bsgron
sgron	bsgron	bsgron	sgron
sgrol	bsgrol	bsgrol	
sgrol	bsgral	bsgral	sgrol
brgyal	brgyal	brgyal	
brgyud 	brgyud	brgyud 	
bsgyings	bsgyings	bsgyings 	
bsgrad 	bsgrad	bsgrad 	bsgrod
ngar	ngar	ngar	ngar
ngal	ngal	ngal	ngal
ngu	ngus	ngu	ngus
ngur 	ngur	ngur 	
nger 	nger	nger 	
nges	nges	nges	nges
ngom	ngoms	ngom	ngoms
dngang	dngangs	dngang	dngangs
dngar	dngar	dngar	dngar
mngag	mngags	mngag	mngags
mnga'	mnga'	mnga'	
mnga'	mnga'	mnga'	
mngon	mngon	mngon	mngon
mngon	mngon	mngon	mngon
rnga	brngas	brnga	rngos
rngan	brngan	brngan	rngan
rngab	brngabs	brngab	rngabs
rngam	brngams	brngam	rngams
rngub	brngubs	brngub	rngubs
rngul	rngul	rngul	rngul
rngul 	rngul	rngul 	
rngul	brngul	brngul	rngul
rngo	brngos	brngo (rngos)	rngos
rngod	brngod	brngod	rngod
rngod	brngos	brngod	rngos
rngon	brngon	brngon	rngon
sngags	sngags	sngags	sngags
sngang	sngangs	sngang	sngangs
sngal	bsngal	bsngal	sngal
sngas	bsngas	bsngas	sngas
sngo	bsngos	bsngo	sngos
sngo	bsngos	bsngo	sngos
sngog	bsngogs	bsngog	sngogs
bsngags	bsngags	bsngags	bsngags
ce	ce	ce	ce
gcal			
gci	gcis (bcis)	gci (bci)	gci (gcis)
gci	gcis	gci	gcis
gcir 	gcir	gcir 	gcir
gcu	gcus	gcu	gcus
gcud	gcus	gcu	'chus
gcur	gcur	bcur	chur
gcem	bcems	bcem	gcems
gces	gces	gces	
gcog	bcag	gcag	chog
gcod	bcad	gcad	chod
gcod	bcad	gcad	chod
gcom	bcam	gcam	gcoms
gcom	bcams	bcam	gcoms
gcor	bcar (car)	gcar	gcor
gcol 	gcol	gcol 	gcol
bcem	bcems	bcem	bcems
bcer 	bcer	bcer 	
lci	lci	lci	
lcigs	lcigs	lcigs	
lceb	lcebs	lceb	lcebs
lcogs	lcogs	lcogs	lcogs
cha	chas	cha	chas
chag	chag	chag	
chags	chags	chags	chags
chags	chags	chags	chags
chags	chags (chag)	chags	chags
chags	chags	chags	chags
chas 	chas	chas 	
chug	chugs	chug	chugs
chud	chud	chud	
chub 	chub	chub 	
che	ches	che	
ches	ches	ches	
chog	chog	chog	chog
chog	chog	chog	chog
chod	chod	chod	chod
chom 	chom	chom 	
mchi	mchis	mchi	
mchis	mchis	mchis	mchis
mchis	mchis	mchis	mchis
mched	mched	mched	mched
mchong	mchongs	mchong	mchongs
mchod	mchod	mchod	mchod
'chag	bcags	gcag	chogs
'chags	bshags	bshag	bshogs
'chags	bshags	bshag	bshogs
'chang	bcangs	bcang	chongs
'chang	bcangs	bcang	chongs
'chad	bshad	bshad	shod
'chad	bshad	bshad	shod
'chad	chad	'chad	chad
'chad	chad	'chad	chad
'chad	chad	'chad	chad
'chab	bcabs	bcab	'chobs
'cham 	'chams	'chams 	
'chams 	'chams	'chams 	'choms
'cha' 	bcas	bca' 	
'cha'	bcas	bca'	'chos
'cha'	'chos	'cha' 	'chos 
'cha' 	bcas	bca' 	
'char	shar	'char	
'chal	chal	'chal	chal
'chi	shi	'chi	shi
'ching	bcings	bcing	chings
'chib	bcibs	bcib	chibs
'chir	bcir	gcir	chir
'chir	chir	'chir	chir
'chir	bcir	bcir	chir
'chu	bcus	bcu	chus
'chu	'chus	'chu	'chus
'chug	'chugs	'chug	'chugs
'chun	chun	'chun	chun
'chum 	'chums	'chum 	
'chums	chum	'chum	chums
'chur	chur	'chur	chur
'chus 	'chus	'chus 	
'che	ches	'che	ches
'chem	chems	chem	chems
'cher	bcer	bcer	'cher
'chel	chel	chel	
'ches	ches	'ches	ches
'che	'ches	'che	'ches
'chor	shor	'chor	
'chor	shor	'chor	
'chol	bcol	bcol	chol
'chol	chol	'chol	chol
'chol	bcol	bcol	chol
'chol	bcol	bcol	chol
'chos	bcos	bcos	chos
'chos	bcos	bcos	chos
mjal	mjal	mjal	mjal (mjol)
mjal 	mjal	mjal 	mjal (mjol)
mjed	mjed	mjed	
'jag	'jags	'jag	'jags
'jags	'jags	'jags	
'jags	gcags	gcag	'jags
'jang 	'jang	'jang 	
'jab	bzhabs	bzhab	'jabs
'jab	'jabs	'jab	'jobs
'ja'	zha	'ja'	'ja'
'ja' 	'jas	'ja'	
'jar	'jar	'jar	'jar
'jal	bcal	gzhal	'jal ('jol)
'jal	bcal	gzhal	'jal ('jol)
'jal	bcal	gzhal	'jal ('jol)
'jig	zhig	'jig	zhigs
'jig	bshig	bzhig	shigs
'jigs	'jigs	'jigs	'jigs
'jib	bzhib	gzhib	'jibs
'jib	gzhibs	gzhib	'jibs
'jil 	'jil	'jil 	
'jil	bcil	gzhil	'jil
'jil	bcil	gzhil	chil
'ju	zhu (bzhus)	'ju (bzhu)	
'ju	'jus	'ju	'jus
'jug	zhugs	'jug	zhugs
'jug	zhugs	'jug	zhugs
'jug	zhugs	'jug	zhugs
'jug	zhugs	'jug	zhugs
'jug	bcug	gzhug	chug
'jug	bcug	gzhug	chug
'jug	bcug	gzhug	chug
'jug	bcug	gzhug	chug
'jug	bcug	gzhug	chug
'jud	bzhud	bzhud	'jud
'jun	bcun	gcun	gcun
'jun	bcun	bcun	chun
'jum ('jums)	bcum	gzhum	chum
'jur	bzhur	gzhur	'jur
'jur	bcur	gcur	chur
'jebs 	'jebs	'jebs 	
'jo	bzhos	bzho	'jos
'jo	bzhos	bzho	'jos (zhos)
'jo	bzhos	bzho	'jos (zhos)
'jo	bzhos	bzho	'jos (zhos)
'jog	bzhag	gzhag	zhog
'jog	bzhag	gzhag	zhog
'jog	bzhag	gzhag	zhog
'jog	bzhag	gzhag	zhog
'jog	bzhogs	gzhog	zhogs
'jong	'jangs	'jang	'jongs
'jom	zhom	'jom	zhoms
'joms	bcom (bcoms)	gzhom (zhom)	chom (choms)
'joms	bcom (bcoms)	gzhom (zhom)	chom (choms)
'joms	bcom (bcoms)	gzhom (zhom)	chom (choms)
'jol 	'jol	'jol 	
rjid	rjid	rjid	
rjud	rjud	rjud	rjud
rje	brjes	brje	rjes
rjed	brjed	brjed	rjed
rjod	brjod	brjod	rjod
rjod	brjod	brjod	rjod
rjod	brjod	brjod	rjod
brjid	brjid	brjid	brjid
brjed	brjed	brjed	
brjed	brjed	brjed	
nya 	nya	nya 	
nyan	mnyan	mnyan	nyon
nyams	nyams	nyams	nyams
nyar	nyar	nyar	nyor
nyal	nyal	nyal	nyol
nyil	nyil	nyil	nyil
nyug	nyugs	nyug	nyugs
nyung	nyung	nyung	
nyung	nyung	nyung	
nyul	nyul	nyul	nyul
nye	nye	nye	
nyed 	nyed	nyed 	nyed
nyen	nyen	nyen	nyen
nyes	nyes	nyes	nyes
nyo	nyos	nyo	nyos
nyog	nyogs	nyog	nyogs
nyob	nyob (nyobs)	nyob	nyob (nyobs)
nyob 	nyob	nyob 	
nyor	nyor	nyor	nyor
gnyid	gnyid	gnyid	
gnyul	gnyul	gnyul	gnyul
gnyeg	gnyags	gnyag	gnyegs
gnyer	gnyer	gnyer	gnyer
gnyog	gnyags	gnyag	gnyogs
mnyan	mnyan	mnyan	mnyan
mnyam	mnyam	mnyam	mnyam
mnyed	mnyes	mnye	mnyes
mnyel	mnyel	mnyel	mnyel
mnyes	mnyes	mnyes	
rnya	brnyas	brnya	rnyos
rnyan	brnyan	brnyan	rnyan
rnyan	brnyan	brnyan	rnyon
rnyas	brnyas	brnyas	rnyas
rnying	rnyings (brnyings)	brnying	rnyings
rnyid 	rnyid	rnyid 	
rnyed	brnyes	brnyed	rnyes
rnyog	brnyogs	brnyog	
rnyob	brnyabs	brnyab	rnyobs
rnyong	brnyangs	brnyang	rnyongs
rnyong	brnyongs	brnyong	rnyongs
rnyob 	rnyob	rnyob 	
snyag	bsnyags	bsnyag	snyags
snyan	snyan	snyan	
snyam	snyams	snyam	
snyal	bsnyal	bsnyal	snyal
snyig	bsnyigs	bsnyig	snyigs
snyil	bsnyil	bsnyil	snyil
snyug	bsnyugs	bsnyug	snyugs
snyung 	bsnyungs	bsnyung 	
snyung	bsnyungs	bsnyung	snyungs
snyun	bsnyun	bsnyun	snyun
snyul	bsnyul	bsnyul	snyul
snye	bsnyes	bsnye	snyes
snyeg	bsnyegs	bsnyeg	snyegs (snyogs)
snyeg	bsnyegs	bsnyeg	snyegs (snyogs)
snyeng	bsnyengs	bsnyeng	snyengs
snyen	bsnyen	bsnyen	snyen
snyem 	bsnyems	bsnyem	snyems
snyems	bsnyems	bsnyem	snyems
snyer	bsnyer	bsnyer	snyer
snyel	bsnyel	bsnyel	snyel
snyog	bsnyogs	bsnyog	snyogs
snyog (snyeg)	bsnyags	bsnyag	snyags (snyogs)
snyod	bsnyod	bsnyod	snyod
snyod	bsnyad	bsnyad	snyod
snyod	bsnyad	bsnyad	snyod
snyod	bsnyad	bsnyad	snyod
snyon	bsnyon	bsnyon	snyon
snyob	bsnyabs	bsnyab	snyobs
snyom (snyoms)	bsnyams	bsnyam	snyoms
snyom (snyoms)	bsnyams	bsnyam	snyoms
snyor	bsnyor	bsnyor	snyor
snyol	bsnyal	bsnyal	snyol
bsnyel 	bsnyel	bsnyel 	
gtam	btams	btam	gtoms
gtam	gtams	gtam (gtams)	gtams
gtam	gtams	gtam	gtoms
gtam	gtams	gtam	gtoms
gtam	gtams	gtam	gtoms
gtar	gtar	gtar	gtar
gtar 	gtar	gtar 	gtor
gtig	btigs	btig	gtigs
gtigs	btig	gtig	gtigs
gtib	gtibs	gtib	gtibs
gtug	gtugs	gtug	gtugs
gtug	gtugs	gtug	gtugs
gtugs	gtugs	gtugs	
gtub	gtubs	gtub	gtubs
gtum	btums	gtum	thums
gtul 	gtul	gtul 	gtul
gtog	gtogs	gtog	gtogs
gtogs	gtogs	gtogs	gtogs
gtong	btang	gtang	thong (thongs)
gtong	btang	gtang	thong (thongs)
gtod	btad	gtad	gtod
gtod	btod	gtod	gtod
gtod	btod	gtod	gtod
gtor	gtor	gtor	gtor
gtol	btol	btol	gtol
rtag	rtag	rtag	rtag
rtab	brtabs	brtab	rtabs
rtas	rtas	rtas	
rtun	brtun	brtun	rtun
rtul	brtul	brtul	rtul
rten	brten	brten	rten
rtog	brtags	brtag	rtags
rtog	brtags	brtag	rtags
rtog	brtags	brtag	rtags
rtog	brtags	brtag	rtags
rtogs	rtogs	rtogs	rtogs
rtogs	rtogs	rtogs	rtogs
rtod	brtod	brtod	rtod
rton	brtan	brtan	rton
rtol 	brtol	brtol 	
rtol	brtol	brtol	rtol
lta	bltas	blta	ltos (ltas)
lta	bltas	blta	ltos (ltas)
lta	bltas	blta	ltos (ltas)
ltab, lteb	bltabs	bltab	ltabs
ltung	ltungs	ltung	
lteb	bltabs	bltab	ltobs
ltem 	ltem	ltem 	
ltog	ltogs	ltog	ltogs
ltogs 	ltogs	ltogs 	
ltos 	bltos	ltos 	
stang	bstangs	bstang	stongs
stad	bstad	bstad	stad
stabs			
star	bstar	bstar	star (stor)
sti	bstis	bsti	stis
sting	bstings	bsting	stings
stib	bstibs	bstib	stibs
stim	bstims	bstim	stims
stir	bstir	bstir	stir
stug	bstugs	bstug	stugs
stung	bstungs	bstung	stungs
stud	bstud	bstud	stud
stun	stun	stun	stun
stun	bstun	bstun	stun
stun	bstun	bstun	stun
sten	bsten	bsten	sten
ster	ster	ster	ster
stong	stongs	stong	stongs
stongs	bstongs	bstong	stongs
stod	bstod (bstad)	bstod (bstad)	stod
ston	bstan	bstan	ston
ston	bstan	bstan	ston
ston	bstan	bstan	ston
ston	bstan	bstan	ston
stob	bstabs	bstab	stobs
stor	bstar	bstar	stor
brta	brtas	brta'	rtas
brta 	brtas	brta 	
bltams 	bltams	bltams 	
bstod	bstod	bstod	bstod
thar	thar	thar	thar
thal  	thal	thal  	
thal	thal	thal	
thig 	thig	thig 	
thing  	things	thing  	
thim 	thim	thim 	
thug	thug	thug	thug
thung	thung	thung	
thub	btubs	btub	thub
thub	thub	thub	thub
thul	thul	thul	thul
the  	the	the  	
theg	thegs	theg	thegs
theg 	theg	theg 	
thegs 	thegs	thegs 	
theng  	thengs	theng  	
thogs 	thogs	thogs 	
thogs 	thogs	thogs 	thogs 
thong 	thong	thong	
thos	thos	thos	thos
mthar	mthar	mthar	
mthud	mthud	mthud	mthud
mthun	mthun	mthun	mthun
mthun	mthun	mthun	mthun
mtho	mtho	mtho	mtho
mthong	mthong	mthong	mthong
mthon	mthon	mthon	mthon
mthol  	mthol	mthol  	
'thag 	thag	'thag 	
'thag	btags	btag	'thog (thogs) ('thags)
'thad	'thad	'thad	'thad
'thab	'thabs	'thab	'thobs
'tham	'thams	'tham	'thoms
'thams	thams	'tham	thams
'thigs	thigs	'thig	thigs
'thibs ('thib)	'thibs	'thibs ('thib)	
'thu	btus	btu	'thu
'thu	thu	thu	thu
'thu	'thus	'thu	'thus
'thu	btus	btu	thus
'thung	'thungs (btungs)	btung	'thungs
'thun	mthun	'cham	
'thub	gtubs	gtub	'thubs
'thum	thum	'thum	thums
'thums 	'thums	'thums 	
'thums	btum	gtums	thums
'thul	'thul	'thul	
'thus	'thus (thus)	'thus	'thus
'the	the	the	thes
'theng  	'thengs	'theng  	
'then	then	then	'then
'then	then	then	'then
'them 	thems	'them 	
'thebs	thebs	'theb	'thebs
'thebs 	thebs	'thebs 	
'thems	them	'them	thems
'thog	btogs	btog	'thogs
'thon	thon	'thon	thon
'thob	thob	'thob	'thobs
'thob	thob	'thob	'thobs
'thoms	thom	'thom	thoms
'thor	'thor	'thor	
'thor	gtor	gtor	gtor
'thol	thol	'thol	thol
dang (dwang)	dangs (dwangs)	dang (dwang)	
dad	dad	dad	dad
dar	dar	dar	dar
dung  	dungs	dung  	
dud	dud	dud	dud
dud 	dud	dud 	
dub	dub	dub	
dur	dur	dur	dur
dul	dul	dul	dul
do  	dob	do  	
dogs 	dogs	dogs 	
dod	dod	dod	dod
don	don	don	don
drag	drag	drag	
drag	drag	drag	
dran	dran	dran	dran (dron)
drung	drungs	drung	drungs
drub	drubs	drub	drubs
dregs	dregs	dregs	dregs
dro  	dros	dro  	
gdang	gdangs	gdang	gdangs (gdongs)
gdang	gdangs	gdang	gdangs (gdongs)
gda'	gda'	gda'	
gdal	bdal	bdal	gdal
gdal  	gdal	gdal  	
gdas	gdas	bdas	gdas
